Rank,Movie Title,Worldwide,Domestic,%,Foreign,%
484,Zombi Child,"$200,909","$25,878",12.9%,"$175,031",87.1%
485,Friendsgiving Day #2,"$198,869","$198,869",100%,-,-
486,Little Joe,"$198,674","$23,862",12%,"$174,812",88%
487,The Warrior Queen of Jhansi,"$198,544","$177,289",89.3%,"$21,255",10.7%
488,Family,"$194,601","$194,601",100%,-,-
489,Mr. Klein,"$193,028","$193,028",100%,-,-
490,The Divine Plan,"$190,031","$190,031",100%,-,-
491,Buñuel in the Labyrinth of the Turtles,"$185,675","$36,205",19.5%,"$149,470",80.5%
492,To Dust,"$184,495","$184,495",100%,-,-
493,The River and the Wall,"$183,602","$183,602",100%,-,-
494,Giant Little Ones,"$181,507","$181,507",100%,-,-
495,Raymonda: Bolshoi Ballet,"$181,361","$181,361",100%,-,-
496,Bolshoi Ballet: Raymonda domestic,"$181,361","$181,361",100%,-,-
497,Rafiki,"$181,316","$137,968",76.1%,"$43,348",23.9%
498,Britt-Marie Was Here,"$179,743","$36,549",20.3%,"$143,194",79.7%
499,Walking on Water,"$178,119","$102,140",57.3%,"$75,979",42.7%
500,Modest Heroes,"$178,027","$178,027",100%,-,-
501,"Iyengar: The Man, Yoga, and the Student's Journey","$176,387","$176,387",100%,-,-
502,Them That Follow,"$172,952","$159,218",92.1%,"$13,734",7.9%
503,Little Woods,"$171,912","$150,010",87.3%,"$21,902",12.7%
504,Palau the Movie,"$171,155","$134,696",78.7%,"$36,459",21.3%
505,Bright Ones,"$165,627","$165,627",100%,-,-
506,Be Natural: The Untold Story of Alice Guy-Blaché,"$165,619","$115,685",69.9%,"$49,934",30.1%
507,The Chambermaid,"$164,531","$86,422",52.5%,"$78,109",47.5%
508,Halston,"$163,446","$151,991",93%,"$11,455",7%
509,"Diana Ross: Her Life, Love and Legacy","$160,968","$160,968",100%,-,-
510,The Body,"$159,317","$68,196",42.8%,"$91,121",57.2%
511,Money,"$155,732","$155,732",100%,-,-
512,Before You Know It,"$151,507","$151,507",100%,-,-
513,Jay Myself,"$151,331","$151,331",100%,-,-
514,Glory 2019 Re-release,"$150,801","$150,801",100%,-,-
515,Piercing,"$149,211","$15,856",10.6%,"$133,355",89.4%
516,The Kingmaker,"$148,611","$122,587",82.5%,"$26,024",17.5%
517,Trial by Fire,"$148,504","$148,504",100%,-,-
518,War and Peace,"$148,503","$148,503",100%,-,-
519,Driven,"$147,172",-,-,"$147,172",100%
520,Citizen K,"$145,941","$120,411",82.5%,"$25,530",17.5%
521,Framing John DeLorean,"$145,625","$145,625",100%,-,-
522,Doctor Who: Logopolis,"$143,248","$143,248",100%,-,-
523,Branagh Theatre Live: The Winter's Tale,"$141,143","$141,143",100%,-,-
524,Canelo vs. Kovalev,"$140,820","$140,820",100%,-,-
525,The Cordillera of Dreams,"$140,465","$20,943",14.9%,"$119,522",85.1%
526,Wilder vs. Ortiz,"$139,207","$139,207",100%,-,-
527,Who Will Write Our History,"$138,868","$138,039",99.4%,$829,0.6%
528,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,"$137,888","$137,888",100%,-,-
